gen_0_4;gen_1_0;gen_2_1;gen_5_2;gen_7_3
115.8893447;37.71716916;48.65836385;22.20441402;0
111.4950421;43.4682577;48.07487766;25.59101908;0
106.3842822;48.08203385;48.10403476;28.30710117;0
104.0551873;52.43458814;48.42558685;30.87037401;0
100.636291;55.13069229;48.74057103;32.45768436;0
98.54990748;56.09993743;48.45473712;33.02812784;0
100.3882946;56.02018769;48.97615869;32.98067579;0
98.57719441;56.59602348;48.75377752;33.32027138;0
106.1685322;56.21757589;48.31876671;33.09715596;0
106.3816169;54.52221966;48.24574383;32.09944092;0
106.5505269;53.64679509;48.21852721;31.58375083;0
105.8310745;54.13408771;48.32672249;31.86992935;0
96.06732923;55.94985612;48.29965;32.93949892;0
89.55035662;60.73754523;48.15422547;35.75859824;0
85.92343702;65.57328487;48.40829101;38.60575199;0
82.02282353;70.96306653;48.60397811;41.77883602;0
79.28960456;75.44841879;48.48642218;44.41948521;0
79.32731524;78.43310901;48.34310687;46.17706383;0
76.98060718;82.91285404;47.81585907;48.81481671;0
78.30013774;85.47253241;47.92075061;50.32106966;0
100.7369144;87.18148371;47.36422756;51.3273578;0
101.8254135;89.71543102;49.00776104;52.81930987;0
99.59386741;90.41198464;56.79588625;53.22984323;0
103.0660955;91.06684053;62.26725012;53.6139931;0
128.0363125;91.97300798;64.67554656;54.14729286;0
131.3669808;93.70974232;67.08272376;55.16945085;0
133.4917743;95.97800072;74.62300403;56.50513922;0
135.0177765;97.15246022;81.12184543;57.1970952;0
141.2056317;96.54875624;84.89723594;56.8406313;0
146.2312228;97.73334351;85.73490386;57.53757454;0
150.9188617;97.82490843;86.20787631;57.59105075;0.077670022
154.4067437;98.21192581;86.26905313;57.77772354;0.358814861
151.2543691;99.18247698;87.65526458;58.04127758;0.78396189
139.443752;90.56611992;81.02678499;52.69629316;1.296165072
141.6498877;94.36791341;80.84754776;54.5917901;2.258889849
139.241983;98.20196571;81.72159502;56.08354086;3.07336205
125.5382352;100.8211979;83.26857513;57.30103615;3.65035207
124.4672019;103.7310359;83.06148787;58.17546622;4.33554567
121.4960795;106.2662765;82.83818944;58.49409487;4.980441198
118.8905061;109.3909721;82.5390134;59.38705021;5.492817114
114.2307693;110.2587743;82.82298036;59.62800048;6.179531401
110.9829157;113.9893252;78.89834425;61.20428416;7.187006738
112.3000509;115.2342362;70.29284377;61.87759621;8.961605089
111.2708981;117.8580528;67.63180468;62.60174408;9.896396516
109.3532515;118.5634662;67.86142516;62.26120125;9.891442125
109.7739522;118.0237795;67.42896293;61.61726848;10.91955136
108.4740691;118.0094576;67.29386402;60.48820289;11.89171532
108.4971068;115.3175742;67.37261034;59.31781945;12.24875263
120.4916936;125.0099464;75.34387131;63.60048223;12.56961454
121.5505338;123.0331438;74.51159797;61.51969826;13.27254915
119.7966146;120.3841885;75.17801902;59.73322587;13.6168627
119.2284049;120.3204613;74.97488715;58.18588445;14.00473019
103.3236117;122.1026007;74.97023041;58.15256529;13.97270996
99.10278923;122.5301464;74.79783754;56.91579471;13.97655693
101.0824112;123.3204183;75.02961874;55.7942042;14.21981327
103.317692;121.7044243;74.46981202;54.90950895;14.5234368
111.8655491;117.3246033;73.00032943;52.87011287;14.61737464
113.7721411;116.7608674;72.61808153;51.15407464;14.55151653
117.3658833;113.7073848;73.14505174;49.63773756;13.95111549
122.1552164;107.5887808;72.43129056;46.94303544;13.06136204
124.3785758;103.7554469;75.191844;44.90271669;12.28926306
125.7517084;98.88857633;76.87448314;42.37206406;11.76518621
128.2335189;94.6202981;83.37790097;41.0157362;10.71151527
128.6316068;90.07675854;86.61293681;40.73163151;10.33374101
134.4158924;84.98103156;87.75419482;39.33838209;8.901052831
132.2411985;81.57275654;91.48866154;39.72052745;6.878503706
135.6578934;78.08496634;92.03804279;40.08297567;5.422500103
139.9111029;75.15150013;95.05222775;40.78522974;3.911533095
154.5036948;73.82674136;103.8779738;41.71530661;2.572884368
150.2433768;73.4095509;122.1505781;42.64986428;1.513933876
153.9685368;72.15494087;113.5845181;42.41302855;0.744008203
162.7083074;71.0977024;101.9686077;41.85120032;0.196641076
160.0958208;69.71087455;109.4093302;41.03741644;0
162.0072765;68.67606536;110.6852353;40.42774922;0
168.2175013;65.77560037;109.6595195;38.72270235;0
171.9943583;61.78956675;110.4998825;36.37661766;0
164.0268022;58.88061995;110.9655013;34.66400833;0
165.3116995;57.2167368;109.9843068;33.6843313;0
168.3284405;54.86859922;109.8419033;32.30163524;0
169.1070543;54.57676437;109.3827026;32.13058188;0
161.9210503;54.61964664;111.3864543;32.15577365;0
159.6513243;55.12161474;110.0637678;32.45052737;0
158.7334788;54.10508654;109.488995;31.84973645;0
154.7911696;53.74995007;108.3963599;31.64019961;0
147.5182399;52.91253041;110.7422987;31.14760847;0
146.7939875;51.3131382;107.3687011;30.20587233;0
146.3970368;50.58394417;95.82959827;29.77707947;0
